fiveGene,threeGene
BCR,ABL1
BCAM,AKT2
MAGI3,AKT3
CAD,ALK
EML4,ALK
KIF5B,ALK
NPM1,ALK
RANBP1,ALK
RANBP2,ALK
STRN,ALK
BCOR,CCNB3
BCOR,RARA
ZC3H7B,BCOR
AGAP3,BRAF
AGK,BRAF
AKAP9,BRAF
CUL1,BRAF
FAM131B,BRAF
GTF2I,BRAF
KIAA1549,BRAF
MKRN1,BRAF
PAPSS1,BRAF
PPFIBP2,BRAF
SND1,BRAF
TRIM24,BRAF
ZKSCAN1,BRAF
BRD4,NUTM1
CBFB,MYH11
CIC,DUX4
P2RY8,CRLF2
DNAJB1,PRKACA
EGFR,RAD51
EGFR,SEPT14
KMT2A,EP300
KAT6A,EP300
EZR,ERBB4
EWSR1,ERG
FUS,ERG
ESR1,CCDC170
ESR1,DAB2
ESR1,GYG1
ESR1,SOX9
ESR1,YAP1
EWSR1,ETV1
TMPRSS2,ETV1
ETV6,FLT3
ETV6,NTRK3
EWSR1,ATF1
EWSR1,CREB1
EWSR1,DDIT3
EWSR1,ETV4
EWSR1,FEV
EWSR1,FLI1
EWSR1,NR4A3
EWSR1,WT1
EWSR1,YY1
BCR,FGFR1
CNTRL,FGFR1
CUX1,FGFR1
ERLIN2,FGFR1
FGFR1,TACC1
FGFR1OP,FGFR1
ZMYM2,FGFR1
FGFR2,AHCYL1
FGFR2,BICC1
FGFR2,CCDC6
FGFR2,CIT
FGFR2,FAM76A
FGFR2,CCAR2
FGFR2,MGEA5
FGFR2,TACC3
FGFR2,PPHLN1
FGFR3,BAIAP2L1
FGFR3,TACC3
GTF2I,RARA
ATF7IP,JAK2
BCR,JAK2
PAX5,JAK2
PCM1,JAK2
ETV6,JAK2
KIF5B,MET
PTPRZ1,MET
STARD3NL,MET
IGLC6,MYC
PVT1,MYC
TRAC,NKX2-1
MIR143,NOTCH1
SEC16A,NOTCH1
NSD1,NUP98
CD74,NTRK1
LMNA,NTRK1
MPRIP,NTRK1
NFASC,NTRK1
TFG,NTRK1
TPM3,NTRK1
TPR,NTRK1
BTBD1,NTRK3
PAX8,PPARA
BCR,PDGFRA
CDK5RAP2,PDGFRA
ETV6,PDGFRA
FIP1L1,PDGFRA
KDR,PDGFRA
KIF5B,PDGFRA
STRN,PDGFRA
AGGF1,PDGFRB
ATF7IP,PDGFRB
BIN2,PDGFRB
CEP85L,PDGFRB
EBF1,PDGFRB
ETV6,PDGFRB
GIT2,PDGFRB
GOLGA4,PDGFRB
CAPRIN1,PDGFRB
HIP1,PDGFRB
KANK1,PDGFRB
CCDC88C,PDGFRB
NIN,PDGFRB
PDE4DIP,PDGFRB
PRKG2,PDGFRB
RABEP1,PDGFRB
SPTBN1,PDGFRB
TP53BP1,PDGFRB
WDR48,PDGFRB
ACPP,PIK3CB
HMGA2,RAD51B
ATG7,RAF1
ESRP1,RAF1
SRGAP3,RAF1
KIF5B,RET
CCDC6,RET
CCDC6,ROS1
CD74,ROS1
CEP85L,ROS1
EZR,ROS1
GOPC,ROS1
KDELR2,ROS1
LIMA1,ROS1
LRIG3,ROS1
MSN,ROS1
SDC4,ROS1
SLC34A2,ROS1
TFG,ROS1
TPM3,ROS1
YWHAE,ROS1
TCF3,HLF
TCF3,PBX1
KMT2A,TET1
TMPRSS2,ERG
TMPRSS2,ETV4
TMPRSS2,ETV5
YAP1,FAM118B
YAP1,MAMLD1
YAP1,TFE3
JAK2,BRAF
COL1A1,PDGFB
PML,RARA
MEF2D,CSF1R
PAX8,PPARG
KMT2A,MLLT3
SS18,SSX1
SS18,SSX2
SS18,SSX4
CLTC,ALK
CTLA4,CD28
FUS,DDIT3
WWTR1,CAMTA1
TNKS2,PDGFRA
ACTB,GLI1
SQSTM1,NTRK1
ATP1B1,NRG1
KMT2E,ASNS
MACF1,BRAF
CUX1,BRAF
STRN,NTRK2
ACBD6,RRP15
ACSL3,ETV1
AGPAT5,MCPH1
AGTRAP,BRAF
ARFIP1,FHDC1
ARID1A,MAST2
ASPSCR1,TFE3
ATG4C,FBXO38
ATIC,ALK
BBS9,PKD1L1
BRD3,NUTM1
C2orf44,ALK
CANT1,ETV4
CARS,ALK
CBFA2T3,GLIS2
CD74,NRG1
CDH11,USP6
CDKN2D,WDFY2
CEP89,BRAF
CHCHD7,PLAG1
CIC,FOXO4
CLCN6,BRAF
CLIP1,ROS1
CLTC,TFE3
CNBP,USP6
COL1A1,USP6
COL1A2,PLAG1
CRTC1,MAML2
CRTC3,MAML2
CTAGE5,GEMIN2
CTNNB1,PLAG1
DCTN1,ALK
DDX5,ETV4
DHH,RHEBL1
EIF3E,RSPO2
EIF3K,CYP39A1
EPC1,PHF1
ERC1,RET
ERC1,ROS1
ERO1L,FERMT2
ETV6,ABL1
ETV6,ITPR2
ETV6,RUNX1
EWSR1,NFATC1
EWSR1,NFATC2
EWSR1,PATZ1
EWSR1,PBX1
EWSR1,POU5F1
EWSR1,SMARCA5
EWSR1,SP3
EWSR1,ZNF384
EWSR1,ZNF444
FCHSD1,BRAF
FGFR1,ZNF703
FGFR1,PLAG1
FN1,ALK
FUS,ATF1
FUS,CREB3L1
FUS,CREB3L2
FUS,FEV
GATM,BRAF
GMDS,PDE8B
GNAI1,BRAF
GOLGA5,RET
GPBP1L1,MAST2
HACL1,RAF1
HAS2,PLAG1
HERPUD1,BRAF
HEY1,NCOA2
HIP1,ALK
HLA-A,ROS1
HMGA2,ALDH2
HMGA2,CCNB1IP1
HMGA2,COX6C
HMGA2,EBF1
HMGA2,FHIT
HMGA2,LHFP
HMGA2,LPP
HMGA2,NFIB
HMGA2,WIF1
HN1,USH1G
HNRNPA2B1,ETV1
HOOK3,RET
IRF2BP2,CDX1
JAZF1,PHF1
JAZF1,SUZ12
KIAA1598,ROS1
KLC1,ALK
KLK2,ETV1
KLK2,ETV4
KMT2A,ABI1
KMT2A,ABI2
KMT2A,ACTN4
KMT2A,AFF1
KMT2A,AFF3
KMT2A,AFF4
KMT2A,ARHGAP26
KMT2A,ARHGEF12
KMT2A,BTBD18
KMT2A,CASC5
KMT2A,CASP8AP2
KMT2A,CBL
