chrom1	start1	end1	symbol	chrom2	start2	end2	overlap
chr1	6185019	6199612	RPL22	chr1	6185028	6186818	1790
chr1	6185019	6199612	RPL22	chr1	6185029	6186818	1789
chr1	9651744	9728919	PIK3CD	chr1	9726946	9728915	1969
chr1	15490831	15524445	CASP9	chr1	15473454	15491767	936
chr1	17408675	17438561	RCC2	chr1	17406761	17408839	164
chr1	17408675	17438561	RCC2	chr1	17406761	17409195	520
chr1	17408675	17438561	RCC2	chr1	17406762	17409196	521
chr1	17408675	17438561	RCC2	chr1	17406779	17409196	521
chr1	17408675	17438561	RCC2	chr1	17406780	17409197	522
chr1	22052626	22092946	CDC42	chr1	22086436	22092405	5969
chr1	22052626	22092946	CDC42	chr1	22086436	22092414	5978
chr1	22052626	22092946	CDC42	chr1	22086436	22092950	6510
chr1	22052626	22092946	CDC42	chr1	22086439	22092399	5960
chr1	22052626	22092946	CDC42	chr1	22091424	22092943	1519
chr1	36224415	36305357	THRAP3	chr1	36286365	36289756	3391
chr1	36224415	36305357	THRAP3	chr1	36303794	36305334	1540
chr1	39895425	39902013	MYCL	chr1	39895427	39896561	1134
chr1	71395939	72282734	NEGR1	chr1	71958857	71960351	1494
chr1	114704468	114716894	NRAS	chr1	114704478	114705775	1297
chr1	114704468	114716894	NRAS	chr1	114704483	114705517	1034
chr1	116514534	116571039	CD58	chr1	116531760	116532974	1214
chr1	117143586	117210934	VTCN1	chr1	117143592	117145228	1636
chr1	119911552	120069626	NOTCH2	chr1	119989247	120093730	80379
chr1	119911552	120069626	NOTCH2	chr1	119989247	120163868	80379
chr1	119911552	120069626	NOTCH2	chr1	119989247	120323081	80379
chr1	119911552	120069626	NOTCH2	chr1	119990473	120087982	79153
chr1	148808465	149033019	PDE4DIP	chr1	148965450	148966798	1348
chr1	148808465	149033019	PDE4DIP	chr1	148988176	148989385	1209
chr1	148808465	149033019	PDE4DIP	chr1	148999047	149000942	1895
chr1	148808465	149033019	PDE4DIP	chr1	149001606	149007588	5982
