chrom1	start1	end1	symbol	chrom2	start2	end2	overlap
1	6246731	6246876	RPL22	1	6245088	6246878	145
1	6246731	6246876	RPL22	1	6245089	6246878	145
1	9786966	9787104	PIK3CD	1	9787004	9788973	100
1	17735585	17735690	RCC2	1	17733257	17735691	105
1	17735585	17735690	RCC2	1	17733258	17735692	105
1	17735585	17735690	RCC2	1	17733275	17735692	105
1	17735585	17735690	RCC2	1	17733276	17735693	105
1	22412931	22413041	CDC42	1	22412929	22418898	110
1	22412931	22413041	CDC42	1	22412929	22418907	110
1	22412931	22413041	CDC42	1	22412929	22419443	110
1	22412931	22413041	CDC42	1	22412932	22418892	109
1	22413161	22413359	CDC42	1	22412929	22418898	198
1	22413161	22413359	CDC42	1	22412929	22418907	198
1	22413161	22413359	CDC42	1	22412929	22419443	198
1	22413161	22413359	CDC42	1	22412932	22418892	198
1	22416435	22416525	CDC42	1	22412929	22418898	90
1	22416435	22416525	CDC42	1	22412929	22418907	90
1	22416435	22416525	CDC42	1	22412929	22419443	90
1	22416435	22416525	CDC42	1	22412932	22418892	90
1	22417920	22418010	CDC42	1	22417917	22419436	90
1	22417920	22418010	CDC42	1	22412929	22418898	90
1	22417920	22418010	CDC42	1	22412929	22418907	90
1	22417920	22418010	CDC42	1	22412929	22419443	90
1	22417920	22418010	CDC42	1	22412932	22418892	90
1	36751968	36752871	THRAP3	1	36751966	36755357	903
1	36754660	36755365	THRAP3	1	36751966	36755357	697
1	36769396	36769618	THRAP3	1	36769395	36770935	222
1	120539619	120539955	NOTCH2	1	120531870	120697156	336
1	120547951	120548211	NOTCH2	1	120531870	120697156	260
1	120572528	120572610	NOTCH2	1	120531870	120697156	82
1	120611947	120612020	NOTCH2	1	120531870	120697156	73
1	144852353	144852443	PDE4DIP	1	144847776	144864619	90
1	144852353	144852443	PDE4DIP	1	144811667	144877742	90
1	144852353	144852443	PDE4DIP	1	144823314	144857814	90
1	144852457	144852499	PDE4DIP	1	144847776	144864619	42
1	144852457	144852499	PDE4DIP	1	144811667	144877742	42
1	144852457	144852499	PDE4DIP	1	144823314	144857814	42
1	144854164	144854211	PDE4DIP	1	144847776	144864619	47
1	144854164	144854211	PDE4DIP	1	144811667	144877742	47
1	144854164	144854211	PDE4DIP	1	144823314	144857814	47
1	144854517	144854656	PDE4DIP	1	144847776	144864619	139
1	144854517	144854656	PDE4DIP	1	144811667	144877742	139
1	144854517	144854656	PDE4DIP	1	144823314	144857814	139
1	144855739	144855883	PDE4DIP	1	144847776	144864619	144
1	144855739	144855883	PDE4DIP	1	144811667	144877742	144
1	144855739	144855883	PDE4DIP	1	144823314	144857814	144
1	144856815	144857042	PDE4DIP	1	144847776	144864619	227
1	144856815	144857042	PDE4DIP	1	144811667	144877742	227
1	144856815	144857042	PDE4DIP	1	144823314	144857814	227
1	144857611	144857728	PDE4DIP	1	144847776	144864619	117
1	144857611	144857728	PDE4DIP	1	144811667	144877742	117
1	144857611	144857728	PDE4DIP	1	144823314	144857814	117
1	144859758	144859998	PDE4DIP	1	144847776	144864619	240
1	144859758	144859998	PDE4DIP	1	144811667	144877742	240
1	144863317	144863442	PDE4DIP	1	144847776	144864619	125
1	144863317	144863442	PDE4DIP	1	144811667	144877742	125
1	144864134	144864324	PDE4DIP	1	144847776	144864619	190
1	144864134	144864324	PDE4DIP	1	144811667	144877742	190
1	144865809	144865929	PDE4DIP	1	144811667	144877742	120
1	144866591	144866723	PDE4DIP	1	144811667	144877742	132
1	144867920	144868172	PDE4DIP	1	144811667	144877742	252
1	144871695	144871881	PDE4DIP	1	144811667	144877742	186
1	144873876	144874029	PDE4DIP	1	144811667	144877742	153
1	144874680	144874904	PDE4DIP	1	144811667	144877742	224
1	144875976	144876028	PDE4DIP	1	144811667	144877742	52
1	144877035	144877271	PDE4DIP	1	144876700	144881195	236
1	144877035	144877271	PDE4DIP	1	144876700	144882865	236
1	144877035	144877271	PDE4DIP	1	144876721	144881195	236
1	144877035	144877271	PDE4DIP	1	144811667	144877742	236
1	144879034	144879563	PDE4DIP	1	144876700	144881195	529
1	144879034	144879563	PDE4DIP	1	144876700	144882865	529
1	144879034	144879563	PDE4DIP	1	144876721	144881195	529
1	144879034	144879563	PDE4DIP	1	144878693	144881195	529
